A,B,C,D,E,F,G,id
No,No,No,No,Yes,No,No,29586
No,No,No,No,No,No,No,29597
No,No,No,No,No,Yes,Yes,29426
No,No,No,Yes,Yes,No,No,29582
No,No,No,No,No,No,No,29795
No,No,No,No,No,No,Yes,29465
No,No,No,Yes,Yes,No,No,29592
No,No,No,Yes,No,No,No,29460
No,Yes,No,No,No,No,No,29649
No,No,No,No,No,Yes,No,29435
No,Yes,No,No,No,No,No,29698
No,No,No,No,No,No,Yes,29742
No,No,Yes,No,Yes,Yes,Yes,29403
No,Yes,Yes,No,No,Yes,No,29771
No,Yes,Yes,No,No,No,No,29401
No,No,Yes,No,No,No,No,29329
No,No,No,No,No,No,Yes,29737
Yes,No,No,Yes,No,No,No,29346
No,No,No,No,No,No,Yes,29525
No,No,No,No,No,Yes,No,29432
No,No,No,No,Yes,No,Yes,29792
Yes,No,No,No,Yes,No,No,29433
No,Yes,No,No,No,No,Yes,29375
No,No,No,No,Yes,No,No,29542
No,No,No,No,No,No,No,29728
No,No,No,Yes,No,No,No,29650
No,No,No,No,No,No,No,29396
Yes,No,No,No,Yes,No,No,29451
No,No,No,No,No,No,Yes,29581
Yes,No,No,Yes,No,Yes,No,29450
No,No,No,Yes,No,No,No,29805
No,Yes,Yes,No,Yes,Yes,No,29421
No,No,No,Yes,No,No,No,29796
No,No,No,No,Yes,No,Yes,29406
No,No,No,No,No,No,Yes,29192
No,No,No,No,Yes,No,Yes,29391
No,No,No,No,No,No,No,29394
No,Yes,Yes,No,No,No,Yes,29776
No,No,No,Yes,Yes,No,No,29320
No,No,No,No,No,No,No,29373
No,No,No,No,Yes,No,Yes,29658
No,No,No,No,No,No,No,29521
No,Yes,Yes,No,No,Yes,No,29567
No,No,No,Yes,No,No,No,29794
No,Yes,Yes,No,No,Yes,Yes,29447
No,No,Yes,No,Yes,No,No,29362
No,Yes,No,No,No,No,No,29418
Yes,No,No,Yes,Yes,Yes,No,29324
No,No,No,No,Yes,No,No,29641
No,No,No,No,No,No,Yes,29386
No,No,No,No,Yes,Yes,Yes,29436
No,No,No,No,No,No,Yes,29799
No,Yes,No,No,No,No,Yes,28959
No,Yes,No,No,No,No,No,29546
No,No,No,No,No,Yes,Yes,29595
No,Yes,No,No,No,No,Yes,29427
No,No,No,No,No,No,Yes,29338
No,Yes,Yes,No,Yes,No,No,29520
No,Yes,No,No,No,No,No,29665
Yes,No,Yes,No,No,Yes,No,29705
No,No,Yes,Yes,No,Yes,No,29458
Yes,No,No,No,No,No,No,29443
No,No,No,No,No,No,Yes,29425
No,No,Yes,No,Yes,No,No,29463
No,No,No,No,No,No,Yes,29573
No,No,No,No,No,No,No,29773
No,No,No,No,Yes,No,Yes,29363
No,No,Yes,No,No,No,No,29352
No,No,No,Yes,Yes,No,No,29335
No,No,No,No,Yes,No,Yes,29003
No,No,No,No,Yes,No,Yes,29571
No,No,No,Yes,No,No,No,29741
No,No,No,No,No,No,No,29006
No,Yes,Yes,No,No,No,Yes,29732
No,No,No,No,No,No,Yes,29697
No,No,No,No,Yes,No,No,29454
No,No,No,No,No,No,Yes,29830
No,No,No,Yes,No,No,No,29593
No,No,Yes,No,No,Yes,Yes,29583
No,Yes,No,No,No,No,Yes,29815
No,No,No,No,Yes,No,Yes,29377
No,No,No,No,Yes,No,Yes,29446
No,No,No,Yes,Yes,No,No,29336
No,No,No,No,Yes,No,Yes,29587
No,No,No,No,Yes,No,No,29345
No,No,No,Yes,No,No,No,29513
No,No,No,No,Yes,No,Yes,29711
No,Yes,Yes,No,No,No,No,29700
No,No,No,No,No,No,Yes,29819
No,Yes,No,No,No,No,No,29756
No,No,No,No,Yes,No,No,29739
No,No,No,No,Yes,No,Yes,29130
No,No,No,Yes,Yes,No,No,29584
No,No,No,No,No,No,Yes,29353
No,No,Yes,No,No,No,No,29570
No,No,No,No,No,No,Yes,29832
No,No,Yes,No,Yes,No,No,29385
No,Yes,No,No,No,No,No,29656
No,No,No,No,No,No,No,29661
No,No,No,No,No,Yes,No,29663
No,No,No,Yes,No,No,No,28680
No,No,No,No,Yes,No,No,28643
No,No,No,No,No,No,Yes,29659
No,No,No,No,No,No,No,29793
No,No,No,No,No,Yes,Yes,28834
No,No,No,No,No,No,No,29331
No,No,No,No,No,No,No,28952
No,No,No,No,No,No,Yes,29652
No,No,No,No,Yes,No,Yes,29390
No,No,No,Yes,No,Yes,No,29313
No,No,No,No,No,No,Yes,29526
Yes,No,No,No,No,No,No,28705
No,No,No,No,No,No,Yes,29629
No,No,No,No,Yes,No,No,29369
No,No,No,No,No,No,Yes,28708
No,No,No,No,Yes,No,Yes,29757
No,No,No,No,Yes,No,Yes,29644
No,No,No,No,Yes,No,No,29789
No,No,No,No,Yes,No,Yes,29420
Yes,No,No,Yes,No,No,No,29630
No,No,Yes,No,No,No,No,29199
No,No,No,No,No,No,Yes,29322
No,No,No,No,No,No,No,29714
No,No,No,No,No,No,No,29358
No,No,No,No,No,Yes,No,29555
No,No,No,No,No,No,Yes,29833
No,No,Yes,No,No,No,Yes,29415
No,No,Yes,No,No,Yes,No,29317
No,No,Yes,No,Yes,Yes,No,29325
No,No,No,No,Yes,No,Yes,29539
No,No,No,No,No,No,Yes,29367
No,No,No,No,Yes,No,No,29706
No,No,No,No,No,Yes,No,29574
No,No,No,No,Yes,No,Yes,29631
No,No,No,Yes,Yes,No,No,29510
No,Yes,Yes,No,No,No,Yes,29444
No,No,No,Yes,No,No,No,29540
No,No,Yes,No,No,No,No,29523
No,No,No,No,No,No,Yes,29422
No,Yes,Yes,No,No,No,No,29660
No,Yes,No,No,No,No,Yes,29371
No,No,No,No,No,No,Yes,29553
No,No,No,No,No,No,Yes,29376
No,No,No,No,Yes,No,Yes,29430
No,No,No,No,No,No,Yes,29547
No,No,No,No,Yes,No,Yes,29797
No,No,No,No,No,No,Yes,29328
No,No,No,No,No,No,No,29509
No,No,No,No,No,Yes,No,29518
No,No,No,No,No,No,Yes,29648
No,No,No,No,Yes,No,No,29414
No,No,No,Yes,No,No,No,29395
No,No,Yes,No,No,Yes,No,28912
No,No,No,No,Yes,No,Yes,29734
No,No,No,No,Yes,Yes,No,29735
No,No,No,No,No,No,Yes,29723
No,No,No,No,No,No,No,29205
No,No,No,No,No,No,No,29643
No,No,No,No,Yes,No,Yes,29393
No,No,No,Yes,Yes,No,No,29416
No,No,No,No,No,No,No,29716
No,No,No,No,No,No,No,29535
No,Yes,Yes,No,Yes,No,Yes,29511
